Price,sales_channel_id,age,product_code,product_type_no,graphical_appearance_no,colour_group_code,perceived_colour_value_id,perceived_colour_master_id,department_no,index_group_no,section_no,garment_group_no
0.0135423728813559,2,27.0,627197,258,1010016,42,5,18,3090,1,15,1023
0.0129491525423728,2,52.0,639598,59,1010001,19,1,20,4242,1,60,1018
0.0338813559322033,1,46.0,630141,273,1010014,9,4,5,8310,26,5,1005
0.0508305084745762,2,27.0,581777,272,1010023,72,2,2,1779,1,57,1016
0.0338813559322033,1,28.0,691291,254,1010001,9,4,5,1666,1,11,1005
0.0254067796610169,2,26.0,639833,265,1010017,73,4,2,1344,2,53,1013
0.0271016949152542,2,64.0,548110,272,1010023,73,2,2,7917,4,76,1016
0.0355762711864406,2,27.0,587264,272,1010011,6,1,12,1722,1,15,1009
0.022864406779661,1,30.0,639901,252,1010026,23,4,8,6546,4,41,1003
0.020322033898305,2,23.0,640124,252,1010016,42,5,18,1647,2,53,1003
0.0338813559322033,2,20.0,574057,252,1010016,9,4,5,1647,2,53,1003
0.0169322033898305,1,51.0,675139,254,1010001,12,1,11,1636,1,15,1005
0.0254067796610169,1,51.0,532578,252,1010016,9,4,5,1626,1,15,1003
0.0101525423728813,2,34.0,529012,286,1010021,43,7,18,1338,1,61,1017
0.0287966101694915,2,50.0,500780,273,1010016,43,4,18,8310,26,5,1005
0.0304915254237288,2,48.0,485691,297,1010017,73,4,2,4225,4,72,1017
0.0508305084745762,2,54.0,524061,275,1010023,9,4,5,1773,2,57,1016
0.0593050847457627,2,47.0,629801,283,1010021,9,4,5,1338,1,61,1017
0.0525254237288135,2,35.0,535783,264,1010016,9,4,5,1212,1,11,1008
0.0508305084745762,1,55.0,592975,272,1010004,9,4,5,1717,1,11,1009
0.0169322033898305,2,44.0,598515,286,1010016,73,4,2,1334,1,61,1017
0.0254067796610169,2,33.0,697705,255,1010008,9,4,5,5741,3,24,1001
0.0118474576271186,2,35.0,577992,286,1010016,51,1,4,1334,1,61,1017
0.0271186440677966,1,24.0,719031,254,1010016,9,4,5,1636,1,15,1005
0.0254067796610169,2,53.0,663515,272,1010004,11,1,9,1747,2,53,1009
0.0254067796610169,2,25.0,500771,273,1010005,73,4,2,8310,26,5,1005
0.0115084745762711,1,23.0,683662,254,1010017,73,4,2,1643,2,51,1002
0.0254067796610169,2,33.0,589924,254,1010017,42,7,18,1636,1,15,1005
0.0338813559322033,2,19.0,399223,272,1010016,9,4,5,1772,2,57,1016
0.0118474576271186,2,27.0,642497,59,1010016,71,3,2,4242,1,60,1018
0.0220169491525423,2,31.0,610744,252,1010016,11,1,9,1646,1,16,1003
